KECAMATAN,KELURAHAN,RT,JENIS_KB,AKHIR_PKB,POKOK_PKB,JUMLAH_KENDARAAN
PENAJAM,JENEBORA,2,C,12/13/2025,0,1
SEPAKU,ARGOMULYO,21,C,11/14/2025,6137300,1
SEPAKU,TELEMOW,31,G,02/26/2024,955500,1
PENAJAM,PETUNG,6,R,04/19/2021,124470,1
PENAJAM,PENAJAM,5,B,03/24/2024,0,1
SEPAKU,ARGO MULYO,21,B,11/21/2025,8048250,1
PENAJAM,PETUNG,19,F,06/20/2025,5240600,1
PENAJAM,PETUNG,19,F,06/20/2025,5240600,1
PENAJAM,PENAJAM,14,B,03/13/2025,3939600,1
PENAJAM,PETUNG,19,B,12/24/2025,10473800,1
PENAJAM,PETUNG,19,F,09/06/2025,7462100,1
PENAJAM,PETUNG,19,B,12/19/2025,10473800,1
PENAJAM,PETUNG,19,F,09/06/2025,7462100,1
PENAJAM,PETUNG,19,B,11/07/2025,8250400,1
PENAJAM,PETUNG,19,F,09/06/2025,7462100,1
SEPAKU,ARGOMULYO,21,C,12/17/2025,42110250,1
PENAJAM,NIPAH-NIPAH,9,B,10/21/2025,8877800,1
PENAJAM,NENANG,4,R,12/12/2020,215300,1
PENAJAM,NIPAH-NIPAH,2,F,08/10/2025,7272300,1
PENAJAM,PENAJAM,22,B,10/27/2025,1047400,1
PENAJAM,LAWE-LAWE,6,B,05/16/2025,422625,1
PENAJAM,PETUNG,9,B,07/20/2025,624800,1
WARU,WARU,14,B,10/04/2024,396165,1
WARU,API-API,5,B,11/07/2025,385900,1
PENAJAM,PENAJAM,23,C,04/27/2025,2719500,1
PENAJAM,PETUNG,1,C,03/09/2023,569700,1
PENAJAM,SIDOREJO,1,C,11/07/2020,1157700,1
PENAJAM,PENAJAM,1,C,12/08/2025,446300,1
PENAJAM,NIPAH-NIPAH,9,C,12/23/2025,556500,1
PENAJAM,PENAJAM,9,C,12/19/2025,0,1
PENAJAM,PENAJAM,9,F,12/19/2024,0,1
PENAJAM,NIPAH-NIPAH,9,C,12/23/2025,556500,1
PENAJAM,PENAJAM,2,C,12/30/2025,451500,1
PENAJAM,NIPAH-NIPAH,9,C,10/06/2025,456800,1
PENAJAM,NIPAH-NIPAH,9,C,10/06/2025,456800,1
PENAJAM,SOTEK,5,C,05/18/2022,445200,1
PENAJAM,PENAJAM,2,A,07/18/2025,861000,1
WARU,API-API,3,C,11/22/2025,1010700,1
SEPAKU,MARIDAN,4,B,06/29/2022,588000,1
PENAJAM,GIRIMUKTI,17,B,12/04/2025,404300,1
SEPAKU,PEMALUAN,3,C,12/22/2024,1548694,1
WARU,WARU,8,C,12/01/2025,790200,1
WARU,WARU,20,C,07/19/2025,1304700,1
PENAJAM,RIKO,1,C,09/09/2025,2848200,1
BABULU,BABULU DARAT,3,C,07/22/2025,2315300,1
PENAJAM,GIRIMUKTI,4,C,09/02/2025,2407125,1
PENAJAM,PETUNG,14,R,05/24/2024,248850,1
PENAJAM,NENANG,7,R,05/24/2025,180300,1
SEPAKU,SUKARAJA,20,R,05/24/2021,181170,1
PENAJAM,PENAJAM,1,C,09/30/2020,378000,1
WARU,BANGUN MULYA,14,R,05/24/2023,227500,1
PENAJAM,PETUNG,11,R,05/24/2025,225800,1
PENAJAM,SUNGAI PARIT,7,R,09/07/2025,246800,1
PENAJAM,GIRIPURWA,8,R,05/24/2025,190800,1
SEPAKU,SUKARAJA,18,R,06/07/2024,710010,1
PENAJAM,PENAJAM,2,C,03/31/2020,651000,1
PENAJAM,PENAJAM,8,R,02/12/2025,89300,1
WARU,WARU,2,R,05/24/2023,227500,1
WARU,WARU,3,R,05/24/2022,227500,1
WARU,BANGUN MULYA,9,R,05/24/2025,215300,1
WARU,WARU,2,R,05/24/2023,227500,1
PENAJAM,GUNUNG STELENG,4,R,05/24/2025,204800,1
PENAJAM,PETUNG,2,R,05/24/2025,224000,1
PENAJAM,PENAJAM,12,R,05/24/2020,229250,1
WARU,WARU,12,R,05/24/2025,224000,1
WARU,WARU,13,R,05/24/2022,227500,1
PENAJAM,GIRIMUKTI,15,R,05/24/2022,227500,1
PENAJAM,PENAJAM,1,R,05/24/2025,243300,1
WARU,WARU,1,R,05/24/2023,278300,1
PENAJAM,SUNGAI PARIT,1,R,05/24/2025,434000,1
PENAJAM,NIPAH-NIPAH,9,R,03/27/2025,126000,1
PENAJAM,PENAJAM,1,R,04/09/2025,196000,1
BABULU,GUNUNG INTAN,7,R,04/13/2023,227500,1
WARU,WARU,2,R,04/13/2023,208300,1
PENAJAM,PEJALA,2,R,04/13/2025,248500,1
WARU,BANGUN MULYA,2,R,04/13/2025,190800,1
PENAJAM,GIRIPURWA,1,R,01/31/2025,39000,1
PENAJAM,LAWE-LAWE,1,R,04/19/2025,204750,1
WARU,API-API,6,R,04/19/2021,206370,1
BABULU,GUNUNG MULIA,5,R,04/19/2022,170015,1
BABULU,RINTIK,2,R,04/19/2025,196000,1
BABULU,LABANGKA,9,R,04/19/2021,206370,1
PENAJAM,GIRIPURWA,1,R,03/18/2025,99000,1
